GeneID,Sensitive_azt0,Sensitive_azt2,Resistant_azt0,Resistant_azt2,Resistant_azt4
PP_1311,403.6461341,383.4338242,361.5999331,304.0446473,356.0114449
PP_1317,1091.707791,1667.272991,983.2854132,1053.834061,1611.648225
PP_1318,2415.464257,3054.656307,2001.648709,1892.612698,2891.440221
PP_1319,2693.907968,3226.434423,2461.392953,2367.128361,2973.741722
PP_1323,263.8395186,232.1074985,267.0970531,263.1574854,260.0814496
PP_1331,2090.580244,1929.012018,1975.766649,1843.480223,1747.364398
PP_1332,1133.14072,996.8928288,1156.863695,1039.894355,962.4454125
PP_1333,1183.010284,1157.185774,1231.363456,1141.545944,1030.544124
PP_1334,1176.073675,1097.530733,1145.527842,1197.123079,976.1797082
PP_1335,1007.851199,948.822105,1098.793231,1050.81846,913.5747535
PP_1337,887.1502586,845.4010338,936.371864,897.8236206,758.4732001
PP_1338,1362.667042,1325.498224,1434.216522,1364.208102,1230.678944
PP_1339,400.2968543,447.6485354,472.4935512,482.012564,396.9235659
PP_1343,2496.796152,2840.392323,2650.201279,2589.47166,2724.015927
PP_1346,261.6219443,242.093233,280.9713418,224.2648201,257.419885
PP_1351,19.09124812,25.1647965,21.31093283,22.67332856,24.13985433
PP_1362,633.3763883,731.6705164,570.5915168,672.1443613,720.7905302
PP_1367,359.1144362,365.8393636,317.5895036,286.9113474,336.6172489
PP_1373,304.6970956,274.8377842,291.47873,246.318322,297.2300613
PP_1376,7.772668548,11.60773205,8.481235902,8.583958196,6.174786173
PP_1377,35.05255151,32.73584879,27.33951429,30.45442418,32.85390257
PP_1378,53.21880745,55.79953834,49.06028828,49.92491726,60.93509148
PP_1379,107.5502077,83.32571903,96.83189395,88.84877631,80.00841187
PP_1380,22.60068579,32.42426674,22.4698144,23.91203198,28.81392664
PP_1381,21.81907713,24.8213895,23.04548288,23.17578284,20.41885263
PP_1382,26.54781368,31.17666809,36.84228611,33.72211762,27.93237431
PP_1383,44.83675977,32.23401901,38.86136767,32.04628223,36.53284637
PP_1384,947.6593804,826.6370061,2615.420324,2181.529933,2214.946322
PP_1385,2283.666687,1850.246398,5315.625115,4458.083492,4606.668741
PP_1386,1321.822984,1023.271034,2107.676693,1818.516582,2019.805807
PP_1394,48.79171904,35.55634221,45.7778732,39.14770875,26.65643255
PP_1400,74.35440516,100.7232891,55.76940511,57.28047463,104.2274694
PP_1403,100.1062639,105.5368566,99.79831727,110.1294625,112.7593209
PP_1407,104.8481837,116.4445627,81.4444124,123.5021489,113.3649104
PP_1408,116.9626829,106.7696602,91.68878222,93.16006042,117.8813987
PP_1416,17.03713772,17.55614321,17.41588384,24.34627765,22.58649804
PP_1417,6.970739255,6.886433941,5.888182609,5.686476832,5.277280563
PP_1418,26.96753028,24.79161621,24.85354886,27.54778716,20.9195665
PP_1419,18.42998258,20.77664703,14.22452825,15.15883284,18.67025055
PP_1426,534.1573114,549.1851779,586.3020623,545.1228709,541.9790661
PP_1436,226.3765206,155.0747186,239.0364905,194.1947952,158.4866038
PP_1444,463.1352308,363.3529958,389.2080527,372.4301312,382.1086788
PP_1457,205.0457406,165.6024977,208.5969411,189.5865231,154.289543
PP_1469,585.404492,530.3589883,623.7319963,573.620182,534.0526649
PP_1470,302.6872891,295.782914,275.207294,230.9249396,269.4489453
PP_1471,299.2770113,271.3078603,279.8695533,249.595577,245.9451611
PP_1478,51.21320588,94.37446381,62.5593491,175.8802896,108.6338205
PP_1494,247.7733662,233.4998354,263.7046809,241.0949535,216.4609416
PP_1496,384.5775166,347.9521338,340.0649049,260.017158,338.0942412
PP_1505,345.4954431,350.2708999,414.8410043,400.4437339,320.7086468
PP_1506,722.5316186,638.3446261,752.3933334,583.6015494,618.9613288
PP_1520,230.609911,219.3415836,205.9072138,178.3401696,213.7534267
PP_1525,89.56315078,82.31233841,71.06389704,61.65125992,77.05683703
PP_1528,50.17442168,41.33293956,49.82264178,51.30919353,41.49063244
PP_1529,117.2525358,108.8922441,113.0615077,117.4488803,107.698611
PP_1530,290.6824294,276.2014848,233.3644413,215.5353537,255.3450158
PP_1587,364.924644,271.9586421,350.7778554,314.7474475,283.6920583
PP_1588,112.1540758,110.7437606,131.2854575,124.8914058,110.3191104
PP_1593,364.9754999,368.9534569,321.6014579,358.4937599,381.5040345
PP_1595,293.9228601,296.5320346,285.3641589,246.7068591,293.2064911
PP_1596,228.7081633,213.8273033,185.2621492,173.7801138,180.4051316
PP_1597,434.4636259,346.2177069,343.0684548,292.1910642,337.0701459
PP_1601,809.4091653,697.8137748,709.7200181,613.7137862,665.7427001
PP_1602,349.9523366,326.3459328,321.9092715,317.6028289,320.2644989
PP_1603,499.107576,411.8791436,458.9684113,346.3359807,412.4657837
PP_1604,201.7956568,164.8670664,180.9147813,133.1592218,167.2663702
PP_1607,523.798248,527.0727038,473.9320556,450.0631228,481.9317129
PP_1610,899.5123574,1159.812823,845.7312449,904.713955,1237.661113
PP_1611,315.7830322,367.4245684,317.6679283,313.062408,385.5101586
PP_1612,1575.343868,1607.813005,1459.045173,1200.950996,1511.761969
PP_1614,102.7489067,83.34933729,109.0425849,94.48026827,89.05738856
PP_1616,402.3626274,454.3024462,454.6371811,503.9715746,455.0650978
PP_1617,130.8417238,135.8985881,130.4035629,145.5307264,126.6955179
PP_1618,144.6559354,147.9917029,141.8509612,142.7155551,150.7067714
PP_1620,138.564853,140.9102806,123.2453391,136.0142246,156.3247594
PP_1625,779.664523,904.7549504,690.2191089,623.9404514,859.7209059
PP_1636,113.2140433,106.5424031,71.64488915,102.6253414,124.0639137
PP_1638,413.1374123,337.043749,481.4331858,321.4378855,337.7747632
PP_1645,99.85771006,134.5190737,118.1704715,114.0685098,137.8174176
PP_1649,56.78454916,54.66401745,49.37914932,64.8403004,57.90669462
PP_1654,230.5201995,194.3713613,226.8562837,213.8265951,218.8697474
PP_1656,886.0706161,861.6382813,1002.391626,819.0604624,829.918288
PP_1657,79.26851914,98.54696426,94.48682168,91.85732341,96.04313832
PP_1664,112.7895001,110.6871572,106.5057373,94.97947881,128.4470205
PP_1665,158.8898635,174.6617656,128.3075719,116.6873145,169.484776
PP_1672,147.4414564,85.62067888,124.6525444,80.28237473,78.32502883
PP_1673,161.8747355,80.98959214,130.446428,70.52259978,74.3024569
PP_1674,74.90699031,35.32214896,65.10812572,36.46445707,33.92975003
